2022-06-14 17:00:00,3031316,3036073,3030838,3033282,3.60739058
2022-06-14 17:01:00,3033379,3040205,3032088,3039476,3.50700031
2022-06-14 17:02:00,3038716,3040717,3031544,3032172,4.1324
2022-06-14 17:03:00,3029925,3029925,3029910,3029910,0.087
2022-06-14 17:04:00,3029470,3032339,3028364,3031831,1.31654565
2022-06-14 17:05:00,3031831,3036933,3030808,3032457,9.66998454
2022-06-14 17:06:00,3033186,3036933,3028857,3035484,10.97361708
2022-06-14 17:07:00,3036839,3037049,3033878,3037049,2.0508876
2022-06-14 17:08:00,3037959,3038465,3034330,3038032,0.43210357
2022-06-14 17:09:00,3038591,3046752,3038270,3046752,5.60350293
2022-06-14 17:10:00,3044856,3051128,3043985,3047719,2.72250651
2022-06-14 17:11:00,3046994,3047307,3043681,3045237,2.1083
2022-06-14 17:12:00,3045550,3045559,3045497,3045497,0.14
2022-06-14 17:13:00,3043685,3049159,3041549,3049159,3.498
2022-06-14 17:14:00,3049757,3049757,3042774,3047691,3.978997
2022-06-14 17:15:00,3046713,3046713,3040765,3044261,1.4858
2022-06-14 17:16:00,3042101,3047582,3042101,3045753,1.64338113
2022-06-14 17:17:00,3044797,3050851,3044797,3048771,1.636
2022-06-14 17:18:00,3052898,3055050,3051306,3053620,2.696194
2022-06-14 17:19:00,3054420,3054420,3045897,3045897,3.057
2022-06-14 17:20:00,3045789,3049566,3042286,3049566,6.67705009
2022-06-14 17:21:00,3049566,3052290,3046712,3046712,1.61494991
2022-06-14 17:22:00,3048091,3049145,3043824,3049006,3.713
2022-06-14 17:23:00,3048061,3054420,3047081,3054420,2.528
2022-06-14 17:24:00,3055120,3059667,3055120,3057283,1.106879
2022-06-14 17:25:00,3055948,3060857,3052863,3060857,5.9093129
2022-06-14 17:26:00,3060857,3063915,3055120,3058608,6.807
2022-06-14 17:27:00,3056831,3058505,3053440,3053475,2.52489523
2022-06-14 17:28:00,3052828,3056813,3052828,3056813,1.365993
2022-06-14 17:29:00,3053759,3055768,3053078,3053088,1.9498
2022-06-14 17:30:00,3053087,3054729,3050656,3053410,1.701
2022-06-14 17:31:00,3051104,3052999,3049577,3052999,4.50337
2022-06-14 17:32:00,3052940,3055077,3052634,3053745,1.23
2022-06-14 17:33:00,3052232,3057636,3052232,3056767,3.6302068
2022-06-14 17:34:00,3055239,3055239,3050497,3050497,2.553
2022-06-14 17:35:00,3050734,3050734,3042653,3042653,1.41808698
2022-06-14 17:36:00,3040464,3040464,3032100,3036903,2.05329302
2022-06-14 17:37:00,3034720,3034720,3030711,3034312,0.4895
2022-06-14 17:38:00,3033410,3033410,3021750,3021750,6.25523508
2022-06-14 17:39:00,3021111,3026501,3016606,3025781,6.07492921
2022-06-14 17:40:00,3025610,3025610,3022041,3024404,1.187
2022-06-14 17:41:00,3023492,3024351,3020797,3023900,1.400444
2022-06-14 17:42:00,3022259,3026129,3019925,3026129,3.33518381
2022-06-14 17:43:00,3023219,3024052,3021102,3021173,2.787
2022-06-14 17:44:00,3020269,3021139,3013184,3016427,6.06541203
2022-06-14 17:45:00,3018017,3021743,3014096,3019547,3.80637835
2022-06-14 17:46:00,3018663,3023724,3012199,3022354,7.89241
2022-06-14 17:47:00,3021808,3023723,3016473,3016473,2.628722
2022-06-14 17:48:00,3016165,3019466,3010000,3015886,4.00798746
2022-06-14 17:49:00,3013418,3022087,3013120,3021387,2.548
2022-06-14 17:50:00,3022429,3025801,3019855,3021145,5.8784875
2022-06-14 17:51:00,3021217,3022521,3018217,3022521,1.991515
2022-06-14 17:52:00,3022521,3025365,3022180,3023919,3.78228822
2022-06-14 17:53:00,3022922,3023206,3019796,3020098,1.868
2022-06-14 17:54:00,3020241,3024281,3020241,3024281,1.33309549
2022-06-14 17:55:00,3023786,3023786,3021941,3021941,0.453988
2022-06-14 17:56:00,3022299,3023452,3021109,3021109,0.354
2022-06-14 17:57:00,3021700,3022420,3018555,3022420,0.684
2022-06-14 17:58:00,3023674,3023976,3022271,3022271,0.94
2022-06-14 17:59:00,3023783,3025029,3022573,3022573,0.36
2022-06-14 18:00:00,3021717,3022784,3014870,3014870,3.324
